activity,timestamp,x-axis,y-axis,z-axis
Pan,17/9/2020 16:08:43.31,-0.449387,-0.060104,9.899307
Rotate,17/9/2020 16:06:52.883,-0.44101,-0.075668,9.906479
Idle,17/9/2020 16:03:16.961,-0.45417799999999997,-0.097214,9.906479
Idle,17/9/2020 16:04:47.153,-0.44699099999999997,-0.078064,9.894516000000001
Busy,17/9/2020 16:13:05.174,-0.444611,-0.058914,9.895721
Idle,17/9/2020 16:04:57.915,-0.444611,-0.08404500000000001,9.899307
Busy,17/9/2020 16:12:21.975,-0.43621800000000005,-0.068481,9.875366
Rotate,17/9/2020 16:06:49.291,-0.443405,-0.07925399999999999,9.908875
Rotate,17/9/2020 16:05:48.041,-0.445801,-0.069687,9.901703
Rotate,17/9/2020 16:07:03.65,-0.445801,-0.073273,9.904099
Idle,17/9/2020 16:03:38.623,-0.443405,-0.093628,9.907684
Busy,17/9/2020 16:13:55.508,-0.44101,-0.067291,9.894516000000001
Pan,17/9/2020 16:09:26.499,-0.443405,-0.069687,9.895706
Pan,17/9/2020 16:08:39.712,-0.43981899999999996,-0.08046,9.904099
Rotate,17/9/2020 16:05:48.044,-0.45178199999999996,-0.069687,9.908875
Rotate,17/9/2020 16:05:40.851,-0.445801,-0.082855,9.91008
Rotate,17/9/2020 16:05:22.876,-0.450592,-0.070877,9.896912
Pan,17/9/2020 16:09:33.673,-0.43861400000000006,-0.067291,9.896912
Rotate,17/9/2020 16:06:34.862,-0.45417799999999997,-0.076859,9.906479
Pan,17/9/2020 16:10:52.709,-0.43861400000000006,-0.052917,9.901703
Busy,17/9/2020 16:13:59.104,-0.449402,-0.078064,9.917266999999999
Rotate,17/9/2020 16:05:33.686,-0.448196,-0.078064,9.888535000000001
Rotate,17/9/2020 16:07:21.718,-0.449402,-0.07925399999999999,9.896912
Busy,17/9/2020 16:11:35.268,-0.44101,-0.058899,9.882538
Rotate,17/9/2020 16:06:27.64,-0.452988,-0.074478,9.913666000000001
Pan,17/9/2020 16:08:46.93,-0.44101,-0.0625,9.89093
Busy,17/9/2020 16:12:50.777,-0.445801,-0.073273,9.886139
Rotate,17/9/2020 16:07:46.92,-0.4422,-0.074463,9.893311
Idle,17/9/2020 16:03:56.65,-0.449387,-0.087631,9.89212
Pan,17/9/2020 16:09:40.866,-0.450592,-0.066086,9.889725
Rotate,17/9/2020 16:06:31.228,-0.447006,-0.06369,9.901703
Rotate,17/9/2020 16:05:37.273,-0.445801,-0.073273,9.905289
Idle,17/9/2020 16:02:37.182,-0.45896899999999996,-0.099609,9.906494
Idle,17/9/2020 16:03:09.768,-0.443405,-0.094818,9.902892999999999
Idle,17/9/2020 16:04:18.333,-0.445801,-0.088837,9.913666000000001
Idle,17/9/2020 16:03:24.202,-0.449387,-0.092422,9.893326
Rotate,17/9/2020 16:05:22.874,-0.450592,-0.076874,9.89212
Busy,17/9/2020 16:12:21.977,-0.43621800000000005,-0.070877,9.894516000000001
Pan,17/9/2020 16:08:21.767,-0.44459499999999996,-0.06489600000000001,9.906479
Pan,17/9/2020 16:09:48.046,-0.443405,-0.066086,9.898102
Rotate,17/9/2020 16:07:32.514,-0.44699099999999997,-0.070877,9.901703
Rotate,17/9/2020 16:06:38.485,-0.45178199999999996,-0.080444,9.913666000000001
Idle,17/9/2020 16:02:37.182,-0.455383,-0.104401,9.90889
Rotate,17/9/2020 16:06:27.639,-0.44699099999999997,-0.074478,9.900497
Busy,17/9/2020 16:13:15.944,-0.443405,-0.08046,9.91008
Idle,17/9/2020 16:02:40.806,-0.450592,-0.10919200000000001,9.913666000000001
Pan,17/9/2020 16:09:30.095,-0.449387,-0.070877,9.902892999999999
Idle,17/9/2020 16:04:00.266,-0.45657299999999995,-0.08644099999999999,9.89093
Busy,17/9/2020 16:12:54.366,-0.43861400000000006,-0.069687,9.920853
Rotate,17/9/2020 16:06:16.875,-0.43981899999999996,-0.067291,9.913666000000001
Busy,17/9/2020 16:13:48.296,-0.431442,-0.06489600000000001,9.91127
Pan,17/9/2020 16:10:34.756,-0.449402,-0.0625,9.894516000000001
Rotate,17/9/2020 16:07:43.329,-0.45178199999999996,-0.073273,9.905289
Idle,17/9/2020 16:03:42.209,-0.45896899999999996,-0.102005,9.905289
Busy,17/9/2020 16:12:29.195,-0.43981899999999996,-0.07206699999999999,9.888535000000001
Idle,17/9/2020 16:03:27.829,-0.44101,-0.075668,9.905289
Rotate,17/9/2020 16:05:26.464,-0.447006,-0.06489600000000001,9.904099
Busy,17/9/2020 16:13:37.485,-0.443405,-0.06489600000000001,9.922058
Busy,17/9/2020 16:11:38.856,-0.448196,-0.06131,9.887329
Pan,17/9/2020 16:08:18.165,-0.43981899999999996,-0.0625,9.901703
Idle,17/9/2020 16:02:55.309,-0.455383,-0.112778,9.902892999999999
Idle,17/9/2020 16:04:54.327,-0.43981899999999996,-0.085251,9.898102
Busy,17/9/2020 16:12:18.376,-0.445801,-0.061295,9.866989
Rotate,17/9/2020 16:06:56.464,-0.44699099999999997,-0.075668,9.904099
Rotate,17/9/2020 16:06:42.113,-0.43981899999999996,-0.074478,9.898102
Idle,17/9/2020 16:03:31.42,-0.460175,-0.098419,9.899307
Idle,17/9/2020 16:04:39.934,-0.452988,-0.087631,9.907684
Busy,17/9/2020 16:12:50.776,-0.443405,-0.0625,9.898102
Idle,17/9/2020 16:04:47.154,-0.444611,-0.085236,9.900497
Pan,17/9/2020 16:09:19.286,-0.450592,-0.055313,9.906494
Idle,17/9/2020 16:03:38.623,-0.44101,-0.088837,9.913666000000001
Pan,17/9/2020 16:09:33.673,-0.44221499999999997,-0.069687,9.917252000000001
Busy,17/9/2020 16:13:33.895,-0.449387,-0.07208300000000001,9.896912
Pan,17/9/2020 16:08:25.358,-0.445801,-0.069687,9.898102
Idle,17/9/2020 16:04:00.265,-0.450592,-0.094818,9.905289
Rotate,17/9/2020 16:07:28.925,-0.45178199999999996,-0.076874,9.90889
Busy,17/9/2020 16:13:01.586,-0.437424,-0.06489600000000001,9.906479
Busy,17/9/2020 16:13:19.535,-0.45178199999999996,-0.055313,9.900497
Rotate,17/9/2020 16:05:58.892,-0.44699099999999997,-0.069672,9.904099
Rotate,17/9/2020 16:06:42.113,-0.43263199999999996,-0.08046,9.900497
Busy,17/9/2020 16:12:40.003,-0.450592,-0.06489600000000001,9.893311
Idle,17/9/2020 16:02:33.564,-0.467346,-0.110382,9.91127
Pan,17/9/2020 16:10:34.756,-0.42784099999999997,-0.061295,9.901703
Rotate,17/9/2020 16:06:45.702,-0.44459499999999996,-0.074463,9.894516000000001
Rotate,17/9/2020 16:06:38.485,-0.45178199999999996,-0.090027,9.900497
Pan,17/9/2020 16:09:51.629,-0.437424,-0.06489600000000001,9.896912
Rotate,17/9/2020 16:05:30.06,-0.46376000000000006,-0.07206699999999999,9.90889
Busy,17/9/2020 16:12:43.595,-0.42784099999999997,-0.058914,9.905289
Pan,17/9/2020 16:09:51.629,-0.44699099999999997,-0.07208300000000001,9.899307
Idle,17/9/2020 16:03:35.003,-0.449387,-0.088837,9.904099
Pan,17/9/2020 16:09:58.816,-0.44101,-0.082855,9.884933
Idle,17/9/2020 16:04:54.327,-0.437424,-0.085236,9.914856
Busy,17/9/2020 16:14:06.327,-0.44101,-0.068481,9.916061000000001
Idle,17/9/2020 16:04:47.154,-0.448196,-0.074478,9.906494
Busy,17/9/2020 16:11:35.268,-0.44101,-0.067291,9.898102
Pan,17/9/2020 16:09:58.816,-0.433838,-0.06369,9.882538
Idle,17/9/2020 16:03:20.58,-0.455383,-0.094818,9.899307
Pan,17/9/2020 16:08:57.706,-0.45657299999999995,-0.06489600000000001,9.912476
Idle,17/9/2020 16:04:07.49,-0.445801,-0.085236,9.901703
Idle,17/9/2020 16:04:14.711,-0.449387,-0.078064,9.899307
Busy,17/9/2020 16:14:06.328,-0.44699099999999997,-0.063705,9.887329
Rotate,17/9/2020 16:07:46.92,-0.44221499999999997,-0.070877,9.901688
Pan,17/9/2020 16:09:26.499,-0.445801,-0.068481,9.884933
Idle,17/9/2020 16:02:33.563,-0.468552,-0.10319500000000001,9.913666000000001
Pan,17/9/2020 16:10:34.754,-0.43861400000000006,-0.06489600000000001,9.889725
Busy,17/9/2020 16:12:18.377,-0.44221499999999997,-0.073273,9.889725
Busy,17/9/2020 16:12:14.782,-0.42784099999999997,-0.057709,9.888535000000001
Rotate,17/9/2020 16:06:49.291,-0.443405,-0.075668,9.907684
Busy,17/9/2020 16:12:25.568,-0.4422,-0.0625,9.90889
Busy,17/9/2020 16:12:04.029,-0.444611,-0.06489600000000001,9.904099
Pan,17/9/2020 16:09:55.227,-0.433838,-0.073273,9.89212
Busy,17/9/2020 16:13:08.756,-0.43263199999999996,-0.076859,9.905289
Pan,17/9/2020 16:10:56.327,-0.443405,-0.068481,9.878952
Busy,17/9/2020 16:13:23.115,-0.452988,-0.060104,9.89093
Busy,17/9/2020 16:11:53.253,-0.43502799999999997,-0.068481,9.884933
Pan,17/9/2020 16:10:56.33,-0.44101,-0.069687,9.899307
Idle,17/9/2020 16:03:24.202,-0.45417799999999997,-0.094818,9.901703
Idle,17/9/2020 16:03:06.15,-0.445801,-0.093628,9.902892999999999
Idle,17/9/2020 16:03:06.149,-0.467346,-0.097214,9.907684
Idle,17/9/2020 16:04:11.118,-0.44459499999999996,-0.094818,9.905289
Pan,17/9/2020 16:09:55.226,-0.43981899999999996,-0.075668,9.888535000000001
Busy,17/9/2020 16:12:40.003,-0.44221499999999997,-0.0625,9.886139
Pan,17/9/2020 16:09:55.224,-0.43981899999999996,-0.061295,9.91127
Rotate,17/9/2020 16:06:13.282,-0.44221499999999997,-0.0625,9.91008
Rotate,17/9/2020 16:07:36.112,-0.45178199999999996,-0.073273,9.883742999999999
Rotate,17/9/2020 16:06:31.228,-0.445801,-0.082855,9.924438
Busy,17/9/2020 16:14:13.504,-0.45417799999999997,-0.06369,9.896912
Busy,17/9/2020 16:11:42.449,-0.44699099999999997,-0.05651900000000001,9.913666000000001
Rotate,17/9/2020 16:07:18.126,-0.448196,-0.087631,9.895706
Busy,17/9/2020 16:14:02.7,-0.43861400000000006,-0.074463,9.894516000000001
Idle,17/9/2020 16:03:53.025,-0.448196,-0.102005,9.901703
Busy,17/9/2020 16:13:23.115,-0.44221499999999997,-0.074478,9.89093
Idle,17/9/2020 16:04:11.114,-0.43861400000000006,-0.085236,9.905289
Busy,17/9/2020 16:12:32.789,-0.430237,-0.078064,9.924438
Pan,17/9/2020 16:09:22.909,-0.443405,-0.066086,9.894516000000001
Idle,17/9/2020 16:03:38.623,-0.443405,-0.099609,9.896912
Rotate,17/9/2020 16:06:31.228,-0.443405,-0.068481,9.895706
Busy,17/9/2020 16:13:48.296,-0.44101,-0.061295,9.916061000000001
Idle,17/9/2020 16:04:21.919,-0.46136499999999997,-0.08165,9.901703
Pan,17/9/2020 16:09:12.065,-0.44459499999999996,-0.060104,9.904099
Busy,17/9/2020 16:12:29.196,-0.450592,-0.055313,9.896912
Rotate,17/9/2020 16:07:10.865,-0.443405,-0.074478,9.901703
Busy,17/9/2020 16:11:42.449,-0.448196,-0.050522000000000004,9.902892999999999
Pan,17/9/2020 16:09:15.66,-0.44221499999999997,-0.068481,9.907684
Busy,17/9/2020 16:12:29.195,-0.433838,-0.06369,9.901703
Pan,17/9/2020 16:08:57.709,-0.448196,-0.07208300000000001,9.899307
Idle,17/9/2020 16:04:32.756,-0.44459499999999996,-0.080444,9.907684
Pan,17/9/2020 16:10:09.579,-0.444611,-0.073273,9.913666000000001
Rotate,17/9/2020 16:05:30.06,-0.468552,-0.068481,9.91127
Idle,17/9/2020 16:02:22.688,-0.46136499999999997,-0.11875899999999999,9.906494
Busy,17/9/2020 16:13:44.692,-0.433838,-0.058899,9.907684
Idle,17/9/2020 16:04:14.71,-0.448196,-0.087631,9.894516000000001
Pan,17/9/2020 16:09:33.673,-0.443405,-0.075668,9.913666000000001
Pan,17/9/2020 16:09:37.279,-0.43981899999999996,-0.069687,9.895706
Pan,17/9/2020 16:08:46.93,-0.43981899999999996,-0.067291,9.899307
Busy,17/9/2020 16:14:09.915,-0.443405,-0.05651900000000001,9.905289
Busy,17/9/2020 16:12:11.203,-0.444611,-0.058914,9.89093
Busy,17/9/2020 16:13:26.71,-0.429047,-0.07206699999999999,9.916061000000001
Rotate,17/9/2020 16:07:10.865,-0.449387,-0.085236,9.89212
Rotate,17/9/2020 16:07:46.92,-0.448196,-0.070877,9.895721
Rotate,17/9/2020 16:05:26.464,-0.445801,-0.07208300000000001,9.91008
